player_name,date,volume,tone,player_id
Adam Walton,2022-04-29,1,0.1,200443
Adam Walton,2022-05-05,1,0.3,200443
Adam Walton,2022-05-09,1,0.2,200443
Adam Walton,2022-05-16,1,0.2,200443
Adam Walton,2022-05-17,1,0.0,200443
Adam Walton,2022-05-19,1,0.2,200443
Adam Walton,2022-05-23,1,0.3,200443
Adam Walton,2022-05-25,1,0.1,200443
Adam Walton,2022-05-26,6,0.18333333333333332,200443
Adam Walton,2022-05-27,2,0.1,200443
Adam Walton,2022-05-31,2,0.1,200443
Adam Walton,2022-06-01,1,0.3,200443
Adam Walton,2022-06-07,1,0.0,200443
Adam Walton,2022-06-15,1,0.0,200443
Adam Walton,2022-06-16,2,0.2,200443
Adam Walton,2022-06-21,1,-0.1,200443
Adam Walton,2022-06-22,1,0.0,200443
Adam Walton,2022-06-23,1,-0.2,200443
Adam Walton,2022-06-29,2,-0.1,200443
Adam Walton,2022-07-11,2,-0.05,200443
Adam Walton,2022-07-14,1,-0.1,200443
Adam Walton,2022-07-16,1,-0.1,200443
Adam Walton,2022-07-21,1,-0.1,200443
Adam Walton,2022-07-28,1,0.0,200443
Adam Walton,2022-08-01,1,0.1,200443
Adam Walton,2022-08-03,1,-0.1,200443
Adam Walton,2022-08-08,1,-0.2,200443
Adam Walton,2022-08-09,1,0.2,200443
Adam Walton,2022-08-15,3,0.06666666666666668,200443
Adam Walton,2022-08-20,1,0.0,200443
Adam Walton,2022-08-21,1,0.0,200443
Adam Walton,2022-09-02,1,0.3,200443
Adam Walton,2022-09-07,1,0.4,200443
Adam Walton,2022-09-08,2,0.2,200443
Adam Walton,2022-09-15,1,0.1,200443
Adam Walton,2022-09-19,1,0.3,200443
Adam Walton,2022-09-20,1,0.1,200443
Adam Walton,2022-09-22,1,0.1,200443
Adam Walton,2022-09-28,1,-0.3,200443
Adam Walton,2022-09-30,2,0.15,200443
Adam Walton,2022-10-05,1,0.3,200443
Adam Walton,2022-10-06,1,0.4,200443
Adam Walton,2022-10-10,2,-0.05,200443
Adam Walton,2022-10-17,2,0.05,200443
Adam Walton,2022-10-19,1,0.4,200443
Adam Walton,2022-10-24,1,0.0,200443
Adam Walton,2022-10-25,1,0.1,200443
Adam Walton,2022-11-10,2,0.05,200443
Adam Walton,2022-11-15,1,0.2,200443
Adam Walton,2022-11-16,1,0.1,200443
Adam Walton,2022-11-18,1,0.4,200443
Adam Walton,2022-11-19,1,0.2,200443
Adam Walton,2022-11-20,1,-0.1,200443
Adam Walton,2022-11-23,1,0.4,200443
Adam Walton,2022-11-26,2,-0.05,200443
Adam Walton,2022-11-30,1,0.0,200443
Adam Walton,2022-12-03,1,0.1,200443
Adam Walton,2022-12-10,1,0.1,200443
Adam Walton,2022-12-14,1,-0.2,200443
Adam Walton,2022-12-17,1,0.1,200443
Adam Walton,2022-12-18,1,0.0,200443
Adam Walton,2022-12-19,1,0.4,200443
Adam Walton,2022-12-20,1,0.1,200443
Adam Walton,2022-12-21,1,0.1,200443
Adam Walton,2022-12-24,1,0.2,200443
Adam Walton,2022-12-25,1,0.0,200443
Adam Walton,2022-12-26,1,0.4,200443
Adam Walton,2022-12-27,1,-0.1,200443
Adam Walton,2022-12-28,1,0.2,200443
Adam Walton,2022-12-30,2,0.2,200443
Adam Walton,2023-01-01,1,-0.2,200443
Adam Walton,2023-01-02,1,0.0,200443
Adam Walton,2023-01-03,1,-0.1,200443
Adam Walton,2023-01-06,1,0.3,200443
Adam Walton,2023-01-07,2,0.04999999999999999,200443
Adam Walton,2023-01-08,5,0.05999999999999999,200443
Adam Walton,2023-01-09,2,0.4,200443
Adam Walton,2023-01-10,2,0.2,200443
Adam Walton,2023-01-11,2,0.25,200443
Adam Walton,2023-01-12,1,0.1,200443
Adam Walton,2023-01-14,1,0.0,200443
Adam Walton,2023-01-20,1,0.0,200443
Adam Walton,2023-01-24,1,0.1,200443
Adam Walton,2023-01-29,1,0.0,200443
Adam Walton,2023-01-30,2,0.1,200443
Adam Walton,2023-02-02,1,0.0,200443
Adam Walton,2023-02-04,1,0.1,200443
Adam Walton,2023-02-06,1,-0.1,200443
Adam Walton,2023-02-12,1,0.3,200443
Adam Walton,2023-02-13,1,0.0,200443
Adam Walton,2023-02-16,2,0.4,200443
Adam Walton,2023-02-19,1,0.3,200443
Adam Walton,2023-02-21,1,0.1,200443
Adam Walton,2023-02-24,1,0.3,200443
Adam Walton,2023-03-06,1,0.0,200443
Adam Walton,2023-03-09,1,0.0,200443
Adam Walton,2023-03-11,1,0.0,200443
Adam Walton,2023-03-16,1,0.0,200443
Adam Walton,2023-04-12,1,0.2,200443
Adam Walton,2023-04-24,1,0.0,200443
Adam Walton,2023-04-29,1,0.0,200443
Adam Walton,2023-05-15,1,0.3,200443
Adam Walton,2023-05-16,1,0.1,200443
Adam Walton,2023-05-20,2,0.05,200443
Adam Walton,2023-05-22,1,0.1,200443
Adam Walton,2023-05-23,1,0.0,200443
Adam Walton,2023-05-27,1,0.1,200443
Adam Walton,2023-05-28,1,0.1,200443
Adam Walton,2023-05-29,1,0.1,200443
Adam Walton,2023-05-30,1,0.1,200443
Adam Walton,2023-05-31,1,0.0,200443
Adam Walton,2023-06-01,1,0.1,200443
Adam Walton,2023-06-04,1,0.1,200443
Adam Walton,2023-06-05,3,0.2,200443
Adam Walton,2023-06-06,1,0.0,200443
Adam Walton,2023-06-10,1,0.2,200443
Adam Walton,2023-06-12,1,0.2,200443
Adam Walton,2023-06-17,2,0.1,200443
Adam Walton,2023-06-20,2,0.3,200443
Adam Walton,2023-06-25,1,0.1,200443
Adam Walton,2023-06-26,1,0.2,200443
Adam Walton,2023-06-28,1,0.0,200443
Adam Walton,2023-07-01,1,0.2,200443
Adam Walton,2023-07-04,1,0.0,200443
Adam Walton,2023-07-05,1,0.0,200443
Adam Walton,2023-07-06,1,-0.1,200443
Adam Walton,2023-07-14,4,0.17500000000000002,200443
Adam Walton,2023-07-15,14,0.1142857142857143,200443
Adam Walton,2023-07-16,2,0.05,200443
Adam Walton,2023-07-17,11,0.11818181818181818,200443
Adam Walton,2023-07-18,5,0.12000000000000002,200443
Adam Walton,2023-07-20,3,0.03333333333333334,200443
Adam Walton,2023-07-21,3,0.1,200443
Adam Walton,2023-07-22,1,0.1,200443
Adam Walton,2023-07-23,1,-0.3,200443
Adam Walton,2023-07-24,3,0.13333333333333336,200443
Adam Walton,2023-07-25,2,0.0,200443
Adam Walton,2023-07-26,1,0.1,200443
Adam Walton,2023-07-28,1,0.0,200443
Adam Walton,2023-07-30,2,0.2,200443
Adam Walton,2023-07-31,2,-0.1,200443
Adam Walton,2023-08-01,3,0.03333333333333334,200443
Adam Walton,2023-08-04,1,0.0,200443
Adam Walton,2023-08-07,1,0.2,200443
Adam Walton,2023-08-09,1,-0.3,200443
Adam Walton,2023-08-14,1,0.0,200443
Adam Walton,2023-08-15,1,0.0,200443
Adam Walton,2023-08-17,1,0.4,200443
Adam Walton,2023-08-22,1,0.1,200443
Adam Walton,2023-08-25,2,-0.15,200443
Adam Walton,2023-08-28,2,0.2,200443
Adam Walton,2023-09-01,1,0.0,200443
Adam Walton,2023-09-02,1,0.0,200443
Adam Walton,2023-09-04,1,0.2,200443
Adam Walton,2023-09-07,3,0.4,200443
Adam Walton,2023-09-11,1,0.2,200443
Adam Walton,2023-09-15,1,-0.1,200443
Adam Walton,2023-09-18,1,0.4,200443
Adam Walton,2023-09-28,1,0.2,200443
Adam Walton,2023-09-29,1,0.0,200443
Adam Walton,2023-10-01,1,0.1,200443
Adam Walton,2023-10-03,1,0.1,200443
Adam Walton,2023-10-09,1,0.1,200443
Adam Walton,2023-10-17,1,0.0,200443
Adam Walton,2023-10-18,1,0.0,200443
Adam Walton,2023-10-19,1,0.0,200443
Adam Walton,2023-10-21,2,0.05,200443
Adam Walton,2023-10-22,2,0.0,200443
Adam Walton,2023-10-23,2,0.0,200443
Adam Walton,2023-10-24,2,-0.15,200443
Adam Walton,2023-10-25,1,0.0,200443
Adam Walton,2023-11-20,1,0.1,200443
Adam Walton,2023-11-22,1,0.0,200443
Adam Walton,2023-11-23,1,0.1,200443
Adam Walton,2023-11-24,1,0.0,200443
Adam Walton,2023-11-27,1,-0.1,200443
Adam Walton,2023-12-06,4,0.575,200443
Adam Walton,2023-12-07,1,0.6,200443
Adam Walton,2023-12-12,1,0.0,200443
Adam Walton,2023-12-13,2,0.25,200443
Adam Walton,2023-12-14,2,0.0,200443
Adam Walton,2023-12-15,1,0.0,200443
Adam Walton,2023-12-18,2,0.0,200443
Adam Walton,2023-12-19,1,0.2,200443
Adam Walton,2024-01-01,1,0.1,200443
Adam Walton,2024-01-03,1,0.0,200443
Adam Walton,2024-01-08,4,0.024999999999999994,200443
Adam Walton,2024-01-09,2,0.1,200443
Adam Walton,2024-01-10,1,0.1,200443
Adam Walton,2024-01-11,8,0.0125,200443
Adam Walton,2024-01-12,2,0.25,200443
Adam Walton,2024-01-13,3,0.23333333333333334,200443
Adam Walton,2024-01-14,11,0.3181818181818182,200443
Adam Walton,2024-01-15,1,0.2,200443
Adam Walton,2024-01-16,1,0.0,200443
Adam Walton,2024-01-18,1,0.2,200443
Adam Walton,2024-01-19,2,0.2,200443
Adam Walton,2024-01-20,1,0.1,200443
Adam Walton,2024-01-25,2,0.2,200443
Adam Walton,2024-01-26,1,0.1,200443
Adam Walton,2024-02-02,1,0.1,200443
Adam Walton,2024-02-05,2,0.3,200443
Adam Walton,2024-02-07,1,0.0,200443
Adam Walton,2024-02-11,5,0.24,200443
Adam Walton,2024-02-14,3,0.06666666666666667,200443
Adam Walton,2024-02-15,5,0.06000000000000001,200443
Adam Walton,2024-02-16,1,0.2,200443
Adam Walton,2024-02-17,3,0.23333333333333336,200443
Adam Walton,2024-02-25,1,0.0,200443
Adam Walton,2024-03-15,1,0.0,200443
Adam Walton,2024-03-18,1,0.0,200443
Adam Walton,2024-03-20,6,0.06666666666666665,200443
